DateTime,KWH/D
2011-12-14,8.749
2011-12-15,12.52
2011-12-16,17.6849999
2011-12-17,15.427999999999999
2011-12-18,14.004
2011-12-19,11.102
2011-12-20,13.183000100000001
2011-12-21,13.153
2011-12-22,9.18
2011-12-23,14.839
2011-12-24,14.341
2011-12-25,12.818999999999999
2011-12-26,12.6020001
2011-12-27,14.234
2011-12-28,11.620000000000001
2011-12-29,13.531
2011-12-30,12.6849999
2011-12-31,14.066
2012-01-01,11.281
2012-01-02,10.026
2012-01-03,12.571
2012-01-04,12.899
2012-01-05,12.2020001
2012-01-06,11.857
2012-01-07,14.825
2012-01-08,11.67
2012-01-09,15.576
2012-01-10,12.4039999
2012-01-11,14.603
2012-01-12,10.045
2012-01-13,13.894
2012-01-14,12.449
2012-01-15,13.3830001
2012-01-16,12.124
2012-01-17,10.458
2012-01-18,10.3539999
2012-01-19,8.014
2012-01-20,10.886
2012-01-21,13.13
2012-01-22,10.455
2012-01-23,11.446
2012-01-24,10.962
2012-01-25,10.807
2012-01-26,9.734
2012-01-27,11.247
2012-01-28,15.231
2012-01-29,11.538
2012-01-30,9.481
2012-01-31,8.899000000000001
2012-02-01,11.3769999
2012-02-02,10.789
2012-02-03,19.5900001
2012-02-04,15.8419999
2012-02-05,13.717
2012-02-06,7.890000000000001
2012-02-07,16.8279997
2012-02-08,17.3029999
2012-02-09,10.274
2012-02-10,10.186
2012-02-11,15.153
2012-02-12,14.119
2012-02-13,10.79
2012-02-14,10.054
2012-02-15,7.417
2012-02-16,11.944
2012-02-17,9.211
2012-02-18,11.563
2012-02-19,11.795
2012-02-20,9.179
2012-02-21,11.118
2012-02-22,10.33
2012-02-23,8.438
2012-02-24,9.453
2012-02-25,10.49
2012-02-26,13.5670001
2012-02-27,9.578
2012-02-28,10.175
2012-02-29,10.870000000000001
2012-03-01,8.875
2012-03-02,11.611
2012-03-03,9.708
2012-03-04,11.091
2012-03-05,11.658
2012-03-06,8.995000000000001
2012-03-07,10.325
2012-03-08,8.482
2012-03-09,10.2929999
2012-03-10,10.663
2012-03-11,10.846
2012-03-12,8.939
2012-03-13,10.381
2012-03-14,9.477
2012-03-15,9.040000000000001
2012-03-16,14.241
2012-03-17,12.753
2012-03-18,12.431
2012-03-19,10.706
2012-03-20,9.071
2012-03-21,8.374
2012-03-22,11.649999900000001
2012-03-23,10.0129999
2012-03-24,10.227
2012-03-25,11.593
2012-03-26,11.5079999
2012-03-27,7.944
2012-03-28,9.885
2012-03-29,11.788000199999999
2012-03-30,9.815
2012-03-31,11.335
2012-04-01,12.222
2012-04-02,10.32
2012-04-03,9.643
2012-04-04,5.944
2012-04-05,7.9
2012-04-06,9.377
2012-04-07,11.407
2012-04-08,11.7889999
2012-04-09,10.7720001
2012-04-10,11.3730001
2012-04-11,9.672
2012-04-12,8.809
2012-04-13,10.198
2012-04-14,10.137
2012-04-15,10.8119999
2012-04-16,8.876
2012-04-17,7.516
2012-04-18,9.251
2012-04-19,8.54
2012-04-20,9.704
2012-04-21,11.932
2012-04-22,10.507
2012-04-23,11.3429999
2012-04-24,9.5360001
2012-04-25,10.155
2012-04-26,7.765
2012-04-27,9.153
2012-04-28,12.457
2012-04-29,11.824
2012-04-30,9.082
2012-05-01,8.26
2012-05-02,8.561
2012-05-03,10.169
2012-05-04,9.516
2012-05-05,10.272
2012-05-06,8.769
2012-05-07,9.394
2012-05-08,9.52
2012-05-09,9.713000000000001
2012-05-10,11.32
2012-05-11,8.701
2012-05-12,7.486
2012-05-13,6.304
2012-05-14,6.886
2012-05-15,10.507
2012-05-16,6.788
2012-05-17,8.581
2012-05-18,8.444
2012-05-19,7.58
2012-05-20,7.433
2012-05-21,9.494
2012-05-22,4.876
2012-05-23,7.61
2012-05-24,6.768
2012-05-25,6.814
2012-05-26,6.096
2012-05-27,6.116
2012-05-28,6.4430001
2012-05-29,6.598
2012-05-30,6.984
2012-05-31,5.016
2012-06-01,9.557
2012-06-02,9.939
2012-06-03,8.625
2012-06-04,8.666
2012-06-05,7.6240000000000006
2012-06-06,6.634
2012-06-07,8.368
2012-06-08,8.576
2012-06-09,7.832
2012-06-10,7.248
2012-06-11,9.477
2012-06-12,9.422
2012-06-13,8.753
2012-06-14,6.728
2012-06-15,6.668
2012-06-16,8.022
2012-06-17,11.033
2012-06-18,6.631
2012-06-19,5.407
2012-06-20,6.91
2012-06-21,6.297
2012-06-22,7.498
2012-06-23,6.649
2012-06-24,8.789
2012-06-25,8.381
2012-06-26,7.588
2012-06-27,6.103
2012-06-28,4.489
2012-06-29,9.115
2012-06-30,6.873
2012-07-01,7.315
2012-07-02,6.26
2012-07-03,6.882
2012-07-04,6.901
2012-07-05,3.838
2012-07-06,7.021
2012-07-07,9.333
2012-07-08,5.373
2012-07-09,6.609
2012-07-10,7.972
2012-07-11,6.670999999999999
2012-07-12,6.307
2012-07-13,6.188
2012-07-14,7.165
2012-07-15,7.539
2012-07-16,10.265
2012-07-17,8.263
2012-07-18,5.561
2012-07-19,4.6530000000000005
2012-07-20,3.99
2012-07-21,6.012
2012-07-22,7.8
2012-07-23,4.89
2012-07-24,4.208
2012-07-25,4.591
2012-07-26,3.5220000000000002
2012-07-27,4.957
